state,year,wage_precarity,informality,casual_share,self_reg_ratio,ILMSI
Gujarat,2022_23,0.8235657078594655,67.7,16.5,1.1652261223006704,70.79744236966388
Gujarat,2023_24,0.7371940675666737,67.8,13.1,1.2601728634052491,62.98614726369208
Gujarat,2025,0.6250421265660462,69.6,13.1,1.2894325735073404,58.67441430449304
Haryana,2022_23,0.896462341645066,59.2,17.5,1.0470344925763455,72.44311089199745
Haryana,2023_24,0.7492276579906647,59.5,14.4,1.126733472801088,62.60031764157829
Haryana,2025,0.8102911001011855,61.2,16.6,1.2383229706692094,66.48577076328108
Himachal Pradesh,2022_23,0.7648259070136781,57.2,8.2,2.283800565434513,42.17792449044555
Himachal Pradesh,2023_24,0.7215964687262733,58.7,11.2,2.2678592704610026,43.86874981327203
Himachal Pradesh,2025,0.7236241169634233,59.4,9.2,2.1466595092082015,44.03038270831796
Jammu & Kashmir,2022_23,0.5590582320723337,76.7,12.4,2.702618152642115,40.642042278222306
Jammu & Kashmir,2023_24,0.6115613186254055,75.5,11.1,1.975040882369837,50.34713836942938
Jammu & Kashmir,2025,0.6846806312914478,76.1,12.9,2.6361709547346246,46.97273441511122
Jharkhand,2022_23,0.7803827042636406,86.1,18.1,1.609543591424303,73.03876815894566
Jharkhand,2023_24,0.903882142599559,83.0,19.0,1.5793850256479125,78.05360799349019
Jharkhand,2025,0.6975674643044136,85.0,18.2,1.6881983942283,68.13438698296773
Karnataka,2022_23,0.7244289086351355,63.1,24.4,1.0973609039154955,72.36230729745004
Karnataka,2023_24,0.674808123953367,64.1,22.9,0.9374228034147842,71.4001526615006
Karnataka,2025,0.778127567515144,64.2,23.4,1.1098226904596056,74.09086251315021
Kerala,2022_23,1.1992373061461508,72.8,27.4,1.2038926266400962,98.13364739075065
Kerala,2023_24,1.3004907056008121,71.7,23.9,1.1118015723803811,100.0
Kerala,2025,1.2529843878816858,67.9,22.3,1.3701634076815363,91.61498392281284
Ladakh,2022_23,0.4985092668368984,70.2,13.0,3.542188865249462,25.112070615522192
Ladakh,2023_24,0.49952835361531656,67.4,8.8,4.526768137949823,7.786389314957817
Ladakh,2025,0.5040292739455027,66.1,11.4,3.1895012806036935,26.53749097034152
Madhya Pradesh,2022_23,0.6521835620528671,77.4,21.3,1.4591981629679058,68.42331897212588
Madhya Pradesh,2023_24,0.6220928456090951,80.8,18.6,1.5709550240789136,64.88294468409813
Madhya Pradesh,2025,0.6421919183818634,79.5,19.8,1.3006727875900506,69.61564629541341
Maharashtra,2022_23,0.6181869439919809,60.0,22.1,0.9700855593645248,66.04424768695849
Maharashtra,2023_24,0.6081413679803472,59.8,21.7,1.1597167589869382,62.786654659102545
Maharashtra,2025,0.5716754489413902,59.6,20.3,1.1732936923423853,59.7453687219013
Manipur,2022_23,0.8156257201060272,70.7,5.3,1.7966637716106566,53.96526508638847
Manipur,2023_24,0.6107128299204079,69.5,4.9,2.483950280867859,35.7342043940537
Manipur,2025,0.5472475304446505,76.8,6.5,2.3207596797854615,39.789857772120556
Meghalaya,2022_23,0.600704371510257,45.5,34.2,2.4629895478308064,50.66831056626142
Meghalaya,2023_24,0.5518790163135742,41.6,30.9,1.8070124403807784,52.20207060618255
Meghalaya,2025,0.7350899220692592,55.9,39.1,1.460234590019757,77.98687813429397
Mizoram,2022_23,0.42524851167132954,55.9,4.9,2.1308470114355402,26.224270929203886
Mizoram,2023_24,0.4457935452328386,57.7,6.0,1.5734491082164026,35.896094906709955
Mizoram,2025,0.5123791991115929,60.8,9.1,1.694330838885021,41.32102623110395
Nagaland,2022_23,0.5068132836256332,39.5,5.4,2.5279864505991996,17.758059537288343
Nagaland,2023_24,0.509346941330282,43.3,5.5,2.5663702758483145,19.175162595788407
Nagaland,2025,0.5527145861212005,37.5,9.7,4.321773628493213,0.0
Odisha,2022_23,0.6444751366174766,82.6,23.0,1.7954159122284703,67.69456436900427
Odisha,2023_24,0.5554712616847219,83.0,24.4,2.1189767433494615,61.262950429793015
Odisha,2025,0.6921198468009021,79.2,23.9,1.8404017009422022,68.41480292395381
Puducherry,2022_23,0.7157099762998129,53.6,17.3,1.1881756321205732,60.31878283950684
Puducherry,2023_24,0.6429477279989846,53.5,21.5,1.311437165677795,59.34602106789926
